idmes,geom,date_sond,year,no_tarif,biomass_ha,type_couv,cl_dens,cl_haut,cl_age,cl_pent,vmb_m3_ha,volm3_ha,st_x,st_y,reseau,geom2,ID_TUILE,name,annee,densite,fuseau,contrat,Area,id_pe,shape,vmb_ha_tab,layer,path,laz_ID_TUI,laz_name,laz_annee,laz_densit,laz_fuseau,laz_contra,laz_Area
770130140104,0101000020DE1900007D991541C002EC402BED6F8B2D962641,2015-10-16 00:00:00+00,"2015","8994",40731.618557842637529,,,,,C,46.469250000000002,59.197930247089694,57366.007944869787025,740118.772338305949233,BAS1,0101000020DE1900007D991541C002EC402BED6F8B2D962641,16_2915614F06,16_2915614f06,"2016",1.000000000000000,f06,600015_26,"1000191",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2915614F06,16_2915614f06,"2016",1.000000000000000,f06,600015_26,"1000191"
770130140204,0101000020DE190000759193C32602EC40B725B3B469992641,2015-10-16 00:00:00+00,"2015","8994",109406.428679785982240,R,B,"3","90",D,147.490000000000009,169.900509462892956,57361.211374076934590,740532.852929285611026,BAS1,0101000020DE190000759193C32602EC40B725B3B469992641,16_2915614F06,16_2915614f06,"2016",1.000000000000000,f06,600015_26,"1000191",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2915614F06,16_2915614f06,"2016",1.000000000000000,f06,600015_26,"1000191"
890180320103,0101000020DE19000081A1BFBBA299EB400F96DB4CEBED2241,2015-09-02 00:00:00+00,"2015",074C,76528.671677272446686,R,D,"3",VIN,E,110.779750000000007,124.701331790286815,56525.085418525151908,620277.650112809496932,BAS2,0101000020DE19000081A1BFBBA299EB400F96DB4CEBED2241,16_2895493F06,16_2895493f06,"2016",1.000000000000000,f06,600015_26,"1000208",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2895493F06,16_2895493f06,"2016",1.000000000000000,f06,600015_26,"1000208"
890180320203,0101000020DE190000F85ABCF38C7AEB40661936154BEB2241,2015-09-02 00:00:00+00,"2015",074C,64861.285846261103870,R,D,"3",VIN,C,96.713250000000002,107.471662524484771,56276.404752900765743,619941.541428369237110,BAS2,0101000020DE190000F85ABCF38C7AEB40661936154BEB2241,16_2895493F06,16_2895493f06,"2016",1.000000000000000,f06,600015_26,"1000208",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2895493F06,16_2895493f06,"2016",1.000000000000000,f06,600015_26,"1000208"
890180290203,0101000020DE190000574762DB50CBEB40BF870DE766DE2241,2015-09-02 00:00:00+00,"2015",074C,48308.981441649892076,R,C,"3","120",C,61.911250000000003,76.467307375155301,56922.526780261359818,618291.451275102677755,BAS2,0101000020DE190000574762DB50CBEB40BF870DE766DE2241,16_2895491F06,16_2895491f06,"2016",1.000000000000000,f06,600015_26,"1000207",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2895491F06,16_2895491f06,"2016",1.000000000000000,f06,600015_26,"1000207"
890190030103,0101000020DE19000015F5D60B1F51EA4024A211C65CA52641,2015-10-22 00:00:00+00,"2015","8994",101347.934045388916275,R,B,"3",VIR,C,133.040249999999986,156.407885926608543,53896.970195273090212,742062.386853281874210,BAS2,0101000020DE19000015F5D60B1F51EA4024A211C65CA52641,16_2885616F06,16_2885616f06,"2016",1.000000000000000,f06,600015_26,"1000190",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2885616F06,16_2885616f06,"2016",1.000000000000000,f06,600015_26,"1000190"
890190030203,0101000020DE190000FE57ED442A83EA40D01A43EF62A62641,2015-10-22 00:00:00+00,"2015","8994",13922.948391970558077,R,,"6","10",D,12.846750000000000,20.036615122050339,54297.320913955554715,742193.467308843508363,BAS2,0101000020DE190000FE57ED442A83EA40D01A43EF62A62641,16_2885616F06,16_2885616f06,"2016",1.000000000000000,f06,600015_26,"1000190",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2885616F06,16_2885616f06,"2016",1.000000000000000,f06,600015_26,"1000190"
890180550103,0101000020DE190000C011FC077863E84093E2BC0E95472441,2015-09-06 00:00:00+00,"2015","8990",18957.938140808146272,R,C,"5","30",C,19.748000000000001,27.193263289930659,49947.750974688213319,664522.528784828609787,BAS2,0101000020DE190000C011FC077863E84093E2BC0E95472441,16_2835538F06,16_2835538f06,"2016",1.000000000000000,f06,600015_26,"1000193",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2835538F06,16_2835538f06,"2016",1.000000000000000,f06,600015_26,"1000193"
890180550203,0101000020DE1900009012C1BF4145E8400E911390534A2441,2015-09-06 00:00:00+00,"2015","8990",64061.850218966261309,M,B,"4","30",C,83.472750000000005,100.489120734241851,49706.054657493834384,664873.781399281462654,BAS2,0101000020DE1900009012C1BF4145E8400E911390534A2441,16_2835538F06,16_2835538f06,"2016",1.000000000000000,f06,600015_26,"1000193",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2835538F06,16_2835538f06,"2016",1.000000000000000,f06,600015_26,"1000193"
770990060104,0101000020DE190000F721C25C7D73E740146C1B796F952641,2016-06-28 00:00:00+00,"2016","8994",141587.976085562957451,R,B,"3",VIN,D,215.657999999999987,242.190955298420903,48027.917573038423143,740023.736537339631468,BAS1,0101000020DE190000F721C25C7D73E740146C1B796F952641,16_2825614F06,16_2825614f06,"2016",1.000000000000000,f06,600015_26,"1000189",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2825614F06,16_2825614f06,"2016",1.000000000000000,f06,600015_26,"1000189"
770990060204,0101000020DE1900003AB5A13E2655E7401B8F45C201982641,2016-06-28 00:00:00+00,"2016","8994",36.261935545878181,R,,"6","10",C,,0.011054009271735,47785.195145467718248,740352.879436943097971,BAS1,0101000020DE1900003AB5A13E2655E7401B8F45C201982641,16_2825614F06,16_2825614f06,"2016",1.000000000000000,f06,600015_26,"1000189",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2825614F06,16_2825614f06,"2016",1.000000000000000,f06,600015_26,"1000189"
890180300203,0101000020DE1900008DDC1937163EE84012887AF023DE2241,2015-11-04 00:00:00+00,"2015",074C,86967.914010333406623,R,B,"3","50",C,131.177249999999987,150.647085593878757,49648.694226198924298,618257.969684841344133,BAS2,0101000020DE1900008DDC1937163EE84012887AF023DE2241,16_2825492F06,16_2825492f06,"2016",1.000000000000000,f06,600015_26,"1000192",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2825492F06,16_2825492f06,"2016",1.000000000000000,f06,600015_26,"1000192"
890180300103,0101000020DE190000ECA302F6220BE8403AC87BD51DDF2241,2015-11-04 00:00:00+00,"2015",074C,37635.992379766859813,R,B,"3","50",C,51.838749999999997,60.464462325873377,49241.092530555877602,618382.916960007743910,BAS2,0101000020DE190000ECA302F6220BE8403AC87BD51DDF2241,16_2815492F06,16_2815492f06,"2016",1.000000000000000,f06,600015_26,"1000190",,,,PEP_synchrone_1an,C:/Users/Patawaitte/OneDrive - Université Laval/Desktop/ULaval/These/Placette/PEP_synchrone_1an.shp,16_2815492F06,16_2815492f06,"2016",1.000000000000000,f06,600015_26,"1000190"
